plate,well,ramp-treatment,stress-treatment,conical,time,value
3,A1,NA,NA,2,0,0
3,A1,NA,NA,2,1,0
3,A1,NA,NA,2,2,0
3,A2,NA,NA,2,0,0
3,A2,NA,NA,2,1,0
3,A2,NA,NA,2,2,0
3,A3,NA,NA,3,0,0
3,A3,NA,NA,3,1,0
3,A3,NA,NA,3,2,0
3,A4,NA,NA,3,0,0
3,A4,NA,NA,3,1,0
3,A4,NA,NA,3,2,0
3,A5,NA,NA,4,0,0
3,A5,NA,NA,4,1,0
3,A5,NA,NA,4,2,0
3,A6,NA,NA,4,0,0
3,A6,NA,NA,4,1,1
3,A6,NA,NA,4,2,1
3,A7,NA,NA,5,0,0
3,A7,NA,NA,5,1,0
3,A7,NA,NA,5,2,0
3,A8,NA,NA,5,0,0
3,A8,NA,NA,5,1,0
3,A8,NA,NA,5,2,0
3,A9,NA,NA,6,0,0
3,A9,NA,NA,6,1,0
3,A9,NA,NA,6,2,0
3,A10,NA,NA,6,0,0
3,A10,NA,NA,6,1,0
3,A10,NA,NA,6,2,0
3,A11,NA,NA,7,0,0
3,A11,NA,NA,7,1,1
3,A11,NA,NA,7,2,1
3,A12,NA,NA,7,0,0
3,A12,NA,NA,7,1,0
3,A12,NA,NA,7,2,0
3,B1,NA,NA,2,0,0
3,B1,NA,NA,2,1,0
3,B1,NA,NA,2,2,0
3,B2,NA,NA,2,0,0
3,B2,NA,NA,2,1,0
3,B2,NA,NA,2,2,0
3,B3,NA,NA,3,0,0
3,B3,NA,NA,3,1,0
3,B3,NA,NA,3,2,0
3,B4,NA,NA,3,0,0
3,B4,NA,NA,3,1,0
3,B4,NA,NA,3,2,0
3,B5,NA,NA,4,0,0
3,B5,NA,NA,4,1,0
3,B5,NA,NA,4,2,0
3,B6,NA,NA,4,0,0
3,B6,NA,NA,4,1,1
3,B6,NA,NA,4,2,1
3,B7,NA,NA,5,0,0
3,B7,NA,NA,5,1,0
3,B7,NA,NA,5,2,0
3,B8,NA,NA,5,0,0
3,B8,NA,NA,5,1,0
3,B8,NA,NA,5,2,0
3,B9,NA,NA,6,0,0
3,B9,NA,NA,6,1,0
3,B9,NA,NA,6,2,0
3,B10,NA,NA,6,0,0
3,B10,NA,NA,6,1,0
3,B10,NA,NA,6,2,0
3,B11,NA,NA,7,0,0
3,B11,NA,NA,7,1,1
3,B11,NA,NA,7,2,1
3,B12,NA,NA,7,0,0
3,B12,NA,NA,7,1,0
3,B12,NA,NA,7,2,0
3,C1,NA,NA,2,0,0
3,C1,NA,NA,2,1,0
3,C1,NA,NA,2,2,0
3,C2,NA,NA,2,0,0
